127.0.0.1 - - [14/Jan/2017:22:19:27 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:32 +0530] "GET /ShoppingCartProject/ HTTP/1.1" 200 60095
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:33 +0530] "GET /ShoppingCartProject/Resource/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:33 +0530] "GET /ShoppingCartProject/Resource/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource/css/fasthover.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource///fonts.googleapis.com/css?family=Glegoo:400,700 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource/css/jquery.countdown.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource///fonts.googleapis.com/css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource/css/popuo-box.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource/js/simpleCart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource/js/bootstrap-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource/js/jquery.magnific-popup.js HTTP/1.1" 304 -
